ID,Tanggal,Bulan,Tahun,ImageAsli,ImageCV,Plat
0,13,Jan,2023,/static/upload/0/images.jpg,/static/upload/0/image.jpg,D1358AHG
1,13,Jan,2023,/static/upload/1/images.jpg,/static/upload/1/image.jpg,D1358AHG
